"","ba�os","m2","jardin","ascensor","parking","piscina","terraza","habitaciones","a_reformar","tipo_vendedor","tipo_inmueble","latitude","longitude","precio","precio_final","distrito","planta","vistas","variacion_precio","dias_venta"
"25302",1,70,NA,0,NA,NA,NA,2,0,2,1,39.4578398,-0.3872695,42000,42000,"jesús",5,"exterior",0,16
"25307",2,123,NA,1,1,NA,1,4,1,2,1,39.4665789,-0.3546779,189000,189000,"camins al grau",1,"exterior",0,0
"25308",1,94,NA,0,NA,0,1,2,1,2,1,39.4771514,-0.3783891,175000,175000,"ciutat vella",NA,"",0,28
"25330",1,79,0,1,0,0,0,2,0,2,1,39.4944225,-0.3711091,73000,73000,"rascanya",4,"exterior",0,48
"25336",1,85,0,0,0,0,0,3,0,2,1,39.4872969,-0.3791769,89500,89500,"la saïdia",NA,"",0,20
"25338",1,63,0,1,1,0,0,1,0,2,1,39.4776738,-0.3758031,180000,170000,"ciutat vella",2,"exterior",-10000,28
"25339",1,108,NA,1,NA,NA,NA,2,0,2,1,39.4621525,-0.3427814,175000,175000,"camins al grau",1,"exterior",0,39
"25351",2,100,1,1,1,NA,NA,4,0,2,1,39.4407531,-0.3914171,100000,100000,"jesús",5,"exterior",0,37
"25352",1,87,0,1,0,0,1,3,0,2,1,39.4570093,-0.3723372,116000,116000,"quatre carreres",1,"exterior",0,27
"25354",1,59,0,1,NA,0,NA,2,0,2,1,39.474733,-0.3322371,110000,110000,"poblats marítims",1,"exterior",0,24
"25361",1,79,0,0,0,0,0,4,1,2,1,39.4903769,-0.3713655,95000,95000,"rascanya",3,"",0,28
"25369",2,99,0,1,0,0,1,1,0,2,1,39.4702206,-0.3758835,340000,340000,"ciutat vella",7,"exterior",0,49
"25387",2,124,0,1,1,0,1,2,0,2,1,39.4630818,-0.357489,480000,480000,"camins al grau",9,"exterior",0,16
"25396",1,82,NA,1,NA,NA,NA,3,0,2,1,39.4676982,-0.3405605,124500,124500,"algirós",1,"",0,16
"25409",1,81,0,1,0,0,0,3,0,1,1,39.469958,-0.4046159,110000,110000,"l'olivereta",1,"exterior",0,0
"25448",2,84,0,1,0,0,0,2,0,2,1,39.4734013,-0.3435833,226000,225000,"algirós",5,"exterior",-1000,37
"25450",1,70,NA,0,NA,NA,1,1,0,2,1,39.4626868,-0.3742581,169000,169000,"l'eixample",1,"exterior",0,0
"25458",1,76,NA,1,NA,NA,NA,2,0,2,1,39.4744094,-0.3501009,210000,210000,"algirós",8,"exterior",0,4
"25463",2,110,NA,1,NA,NA,NA,3,0,2,1,39.4924157,-0.3868713,136900,136900,"benicalap",1,"exterior",0,13
"25466",2,81,NA,1,1,NA,NA,3,0,2,1,39.4743061,-0.3794791,360000,360000,"ciutat vella",1,"exterior",0,12
"25524",2,139,NA,1,NA,NA,NA,4,0,2,1,39.4704708,-0.3696679,510000,510000,"l'eixample",3,"exterior",0,0
"25534",2,170,0,1,0,0,0,3,0,2,1,39.4717254,-0.37105,470000,470000,"ciutat vella",3,"exterior",0,44
"25540",1,87,0,1,0,0,0,3,0,2,1,39.469958,-0.4055159,84000,84000,"l'olivereta",NA,"",0,0
"25543",1,87,0,1,0,0,1,3,0,2,1,39.4564093,-0.3735372,116000,116000,"quatre carreres",1,"",0,12
"25546",1,80,0,0,0,0,0,3,0,2,1,39.449086,-0.3361802,55600,55600,"quatre carreres",4,"",0,40
"25557",1,85,NA,1,NA,NA,NA,3,0,2,1,39.4625569,-0.3904323,125900,125900,"patraix",NA,"",0,20
"25558",2,129,NA,1,1,NA,NA,3,0,2,1,39.4600926,-0.390612,205000,205000,"patraix",2,"exterior",0,0
"25563",1,110,NA,1,NA,NA,NA,3,1,2,1,39.463849,-0.3655307,319000,319000,"l'eixample",4,"exterior",0,0
"25567",1,90,NA,NA,NA,NA,NA,3,0,2,1,39.4550058,-0.3624703,115900,115900,"quatre carreres",NA,"",0,53
"25578",2,131,1,1,1,1,0,3,0,2,1,39.4865014,-0.4020158,340000,340000,"campanar",7,"exterior",0,0
"25583",1,50,0,0,NA,0,0,1,0,2,1,39.4695963,-0.3769712,107000,107000,"ciutat vella",4,"exterior",0,0
"25586",3,158,0,1,NA,0,1,6,0,2,1,39.4771785,-0.3797464,460000,460000,"ciutat vella",1,"exterior",0,28
"25590",1,87,0,1,0,0,0,3,0,2,1,39.469958,-0.4032159,84000,80000,"l'olivereta",NA,"",-4000,16
"25594",3,153,NA,1,NA,0,1,4,0,2,1,39.4798185,-0.3838764,325000,325000,"ciutat vella",4,"exterior",0,28
"25622",2,111,0,0,0,0,0,3,0,2,1,39.4637554,-0.371856,299000,299000,"l'eixample",1,"exterior",0,28
"25626",2,155,0,1,0,0,1,4,0,2,1,39.4683656,-0.3759616,460000,460000,"ciutat vella",6,"exterior",0,25
"25636",2,136,0,1,0,0,0,4,1,2,1,39.4677466,-0.3655276,380000,380000,"l'eixample",2,"exterior",0,28
"25652",1,94,0,1,0,0,0,3,0,2,1,39.4669858,-0.3921409,180000,180000,"l'olivereta",3,"exterior",0,16
"25663",5,237,0,1,0,0,0,4,0,2,1,39.4755901,-0.3619622,890000,890000,"el pla del real",4,"exterior",0,44
"25670",2,121,0,1,0,0,0,3,0,2,1,39.4708901,-0.3341331,190000,190000,"poblats marítims",2,"exterior",0,0
"25672",1,106,0,1,0,0,0,4,1,2,1,39.4662025,-0.388907,128000,128000,"extramurs",2,"exterior",0,0
"25680",3,286,0,1,0,0,1,6,1,2,1,39.4678082,-0.3767156,549000,549000,"l'eixample",8,"",0,20
"25690",1,79,0,1,0,NA,1,2,0,2,1,39.4946151,-0.373871,165000,165000,"rascanya",5,"exterior",0,0
"25711",2,74,1,1,1,1,1,3,0,2,1,39.4976824,-0.3916722,379000,379000,"benicalap",8,"exterior",0,0
"25717",2,105,NA,1,1,NA,NA,3,0,2,1,39.4491054,-0.3855721,133000,133000,"jesús",6,"interior",0,16
"25721",2,118,NA,1,1,NA,NA,3,0,2,1,39.4675543,-0.3348146,280000,280000,"poblats marítims",5,"exterior",0,40
"25727",1,92,NA,1,NA,NA,NA,4,1,2,1,39.4565764,-0.4048351,107000,107000,"patraix",5,"interior",0,25
"25734",1,70,NA,1,NA,NA,NA,3,0,2,1,39.4553561,-0.3837036,115000,115000,"jesús",2,"exterior",0,8
"25741",2,121,1,1,1,1,1,3,0,2,1,39.4976268,-0.3911718,375000,375000,"benicalap",NA,"",0,16
"25742",2,115,NA,1,1,NA,NA,4,0,2,1,39.4549857,-0.3812737,180000,180000,"quatre carreres",2,"exterior",0,37
"25743",1,90,0,0,0,0,0,3,0,2,1,39.4572953,-0.3628235,115900,115900,"quatre carreres",4,"exterior",0,53
"25746",2,116,0,1,0,0,0,3,0,2,1,39.4540857,-0.3790737,165000,165000,"quatre carreres",2,"exterior",0,25
"25747",3,176,0,1,0,0,1,4,0,2,1,39.4798185,-0.3841764,325000,325000,"ciutat vella",4,"exterior",0,28
"25761",2,100,NA,1,NA,NA,NA,3,0,2,1,39.4528857,-0.3816737,170000,170000,"quatre carreres",2,"exterior",0,37
"25775",2,184,0,1,1,0,1,3,0,2,1,39.4683076,-0.3760387,3200000,3200000,"ciutat vella",4,"exterior",0,28
"25780",2,148,0,1,0,0,0,4,0,2,1,39.4666505,-0.3842985,320000,320000,"extramurs",3,"exterior",0,0
"25792",1,60,0,1,0,0,0,1,0,2,1,39.4705443,-0.3791132,215000,215000,"ciutat vella",4,"exterior",0,12
"25797",2,131,0,1,NA,0,NA,3,0,2,1,39.4628295,-0.3881637,155000,155000,"extramurs",1,"exterior",0,28
"25800",2,116,NA,1,NA,NA,1,3,0,2,1,39.4539857,-0.3806737,165000,169000,"quatre carreres",2,"",4000,32
"25801",4,298,NA,1,1,NA,1,4,0,2,1,39.4645516,-0.3636407,1800000,1800000,"l'eixample",NA,"",0,0
"25804",2,120,0,1,0,0,1,2,0,2,1,39.4642526,-0.3752803,650000,650000,"l'eixample",4,"exterior",0,0
"25806",2,174,1,1,1,1,1,3,0,1,1,39.4852174,-0.4037198,430000,430000,"campanar",1,"exterior",0,0
"25829",1,88,0,1,0,0,0,3,0,2,1,39.4729366,-0.327867,181500,181500,"poblats marítims",2,"exterior",0,37
"25832",2,90,NA,1,NA,NA,NA,3,0,2,1,39.4673078,-0.377809,230000,230000,"ciutat vella",3,"interior",0,20
"25833",2,150,NA,1,1,NA,NA,5,1,2,1,39.4658231,-0.3820544,280000,280000,"extramurs",2,"exterior",0,0
"25838",3,114,NA,0,NA,NA,1,2,0,2,1,39.4689153,-0.3328004,230000,230000,"poblats marítims",NA,"",0,5
"25854",1,45,0,0,0,0,0,3,0,2,1,39.4513492,-0.3350768,55700,55700,"poblats marítims",NA,"",0,40
"25865",2,158,0,1,1,1,1,4,0,2,1,39.4483579,-0.3652756,360000,360000,"quatre carreres",11,"exterior",0,12
"25870",2,61,0,1,1,NA,NA,2,0,2,1,39.4744992,-0.3379052,170000,170000,"poblats marítims",3,"exterior",0,12
"25898",2,118,NA,1,NA,NA,NA,2,0,2,1,39.4770348,-0.3817823,295000,250000,"ciutat vella",2,"exterior",-45000,41
"25900",2,72,0,0,0,0,0,3,0,2,1,39.4633811,-0.400013,84000,84000,"l'olivereta",1,"",0,16
"25907",2,81,0,1,0,0,0,2,0,2,1,39.460664,-0.3709838,269900,269900,"l'eixample",1,"",0,49
"25913",2,122,1,1,NA,NA,1,2,0,2,1,39.4748288,-0.3812808,253000,253000,"ciutat vella",NA,"",0,28
"25916",2,208,0,1,0,0,1,4,0,2,1,39.4622773,-0.3649523,470000,470000,"l'eixample",4,"exterior",0,0
"25938",2,117,NA,1,NA,NA,1,2,0,2,1,39.4599356,-0.3312367,245000,245000,"poblats marítims",2,"exterior",0,40
"25943",1,80,NA,1,NA,NA,NA,3,0,2,1,39.4664496,-0.400151,62700,62700,"l'olivereta",NA,"",0,13
"25960",2,84,0,1,0,1,1,2,0,2,1,39.4401805,-0.3882368,190000,190000,"jesús",14,"exterior",0,3
"25978",2,105,NA,1,NA,NA,1,2,0,2,1,39.4531353,-0.3795563,194800,194800,"quatre carreres",8,"exterior",0,37
"25981",1,100,NA,1,NA,NA,NA,4,0,2,1,39.4940535,-0.3733803,119900,119900,"rascanya",3,"exterior",0,0
"25988",1,89,NA,1,NA,NA,NA,3,1,2,1,39.4839459,-0.3755608,129000,129000,"la saïdia",1,"exterior",0,0
"25990",1,75,0,1,0,0,1,3,0,2,1,39.4452027,-0.3912605,100000,100000,"jesús",3,"exterior",0,13
"26019",1,52,NA,0,NA,NA,NA,2,0,2,1,39.4700438,-0.4016605,63000,63000,"l'olivereta",1,"exterior",0,13
"26037",1,64,NA,0,NA,NA,NA,3,0,2,1,39.4934598,-0.3688485,51000,51000,"rascanya",4,"exterior",0,0
"26047",2,145,NA,1,1,NA,NA,3,0,2,1,39.4746924,-0.3828756,325000,350000,"ciutat vella",8,"exterior",25000,28
"26049",2,100,NA,1,NA,NA,NA,4,1,2,1,39.4617903,-0.3416076,137000,137000,"camins al grau",5,"exterior",0,16
"26076",2,104,NA,1,0,NA,NA,3,0,2,1,39.4585105,-0.3659491,149990,149990,"quatre carreres",3,"exterior",0,53
"26082",2,121,1,1,1,0,1,3,0,2,1,39.4481373,-0.387941,330000,330000,"jesús",17,"exterior",0,32
"26086",1,84,NA,1,NA,NA,NA,2,1,2,1,39.483706,-0.3882088,105000,99000,"campanar",1,"exterior",-6000,16
"26088",2,100,0,0,0,0,0,2,0,2,1,39.471752,-0.3542684,290000,300000,"el pla del real",1,"exterior",10000,28
"26089",1,114,0,0,0,0,0,2,1,2,1,39.4642554,-0.373556,250000,250000,"l'eixample",3,"exterior",0,25
"26091",2,155,NA,1,1,NA,NA,3,0,2,1,39.4739453,-0.3943138,295000,295000,"extramurs",4,"exterior",0,28
"26099",1,102,NA,1,NA,NA,NA,4,0,2,1,39.4556764,-0.4030351,109000,109000,"patraix",5,"exterior",0,0
"26101",1,93,NA,1,NA,NA,NA,4,0,2,1,39.4709003,-0.402599,110000,110000,"l'olivereta",3,"exterior",0,8
"26103",2,108,NA,1,NA,NA,NA,4,0,2,1,39.4812418,-0.3263196,182000,182000,"poblats marítims",2,"exterior",0,53
"26128",2,126,0,1,0,0,1,3,0,2,1,39.491157,-0.3719287,165000,165000,"rascanya",1,"",0,28
"26130",2,116,0,1,1,0,1,3,0,2,1,39.4531857,-0.3806737,169000,169000,"quatre carreres",2,"",0,40
"26136",2,204,NA,1,NA,NA,NA,5,0,2,1,39.4644803,-0.3712832,599000,599000,"l'eixample",6,"exterior",0,28
"26157",3,200,0,1,0,0,0,6,0,2,1,39.4707349,-0.3780953,750000,750000,"ciutat vella",2,"exterior",0,0
"26159",2,72,NA,0,NA,NA,NA,3,0,2,1,39.4779347,-0.328009,130000,130000,"poblats marítims",3,"exterior",0,0
"26172",2,79,0,1,0,0,0,3,0,2,1,39.461452,-0.3465543,125000,125000,"camins al grau",2,"exterior",0,3
"26178",1,66,NA,0,NA,NA,1,2,1,2,1,39.4652725,-0.3827938,135000,135000,"extramurs",1,"exterior",0,28
"26192",1,95,0,1,0,0,0,3,0,2,1,39.4575953,-0.3626235,115900,115900,"quatre carreres",4,"exterior",0,53
"26204",1,99,NA,1,NA,NA,1,2,0,2,1,39.4942518,-0.3711525,199990,199990,"rascanya",6,"exterior",0,28
"26217",2,188,NA,1,NA,NA,NA,4,0,2,1,39.4488463,-0.3626727,412000,412000,"quatre carreres",NA,"",0,12
"26221",1,90,0,0,0,0,0,3,0,2,1,39.4583953,-0.3618235,115900,115900,"quatre carreres",4,"",0,53
"26239",3,167,NA,1,NA,NA,1,4,0,2,1,39.4818185,-0.3827764,325000,325000,"ciutat vella",4,"exterior",0,28
"26247",2,90,NA,1,NA,NA,1,2,0,2,1,39.4950047,-0.4013243,255000,255000,"campanar",11,"exterior",0,37
"26256",1,84,0,1,0,0,0,3,0,2,1,39.488319,-0.3775711,165000,165000,"la saïdia",3,"exterior",0,51
"26271",1,95,NA,1,NA,NA,NA,4,0,2,1,39.4669003,-0.403799,105000,105000,"l'olivereta",3,"exterior",0,16
"26304",1,90,NA,1,NA,NA,NA,3,0,2,1,39.4498503,-0.405541,160000,160000,"patraix",2,"exterior",0,21
"26313",1,60,NA,1,0,NA,NA,2,0,2,1,39.4645893,-0.3784277,270000,270000,"extramurs",3,"",0,41
"26315",1,62,0,1,0,0,1,3,0,2,1,39.4845887,-0.3804741,159000,190000,"la saïdia",1,"exterior",31000,28
"26329",2,95,0,1,0,0,0,3,0,2,1,39.4911213,-0.3829021,177900,174900,"la saïdia",5,"exterior",-3000,28
"26343",2,116,NA,1,NA,NA,NA,3,0,2,1,39.4545857,-0.3782737,170000,170000,"quatre carreres",2,"exterior",0,37
"26360",2,81,NA,1,1,NA,NA,3,0,2,1,39.473851,-0.3782871,360000,360000,"ciutat vella",1,"exterior",0,12
"26384",2,152,NA,1,NA,NA,NA,5,0,2,1,39.4721791,-0.3791943,334000,334000,"ciutat vella",6,"exterior",0,12
"26408",1,70,0,0,0,0,0,3,0,1,1,39.4904534,-0.3877006,68000,68000,"benicalap",4,"exterior",0,16
"26483",1,90,0,0,0,0,1,3,0,2,1,39.4489572,-0.33111,65000,65000,"poblats marítims",4,"exterior",0,12
"26489",1,81,NA,1,NA,NA,1,4,1,2,1,39.4852634,-0.3773788,155000,155000,"la saïdia",1,"exterior",0,15
"26490",2,116,NA,1,1,NA,NA,3,0,2,1,39.4545857,-0.3801737,165000,165000,"quatre carreres",2,"exterior",0,32
"26506",2,112,0,1,0,0,0,3,0,2,1,39.4725543,-0.3930107,218000,218000,"extramurs",3,"exterior",0,28
"26514",1,79,0,1,0,0,0,3,0,2,1,39.4672992,-0.3364203,135000,135000,"algirós",1,"interior",0,32
"26546",2,97,0,1,NA,0,1,3,0,2,1,39.4667275,-0.3836078,250000,250000,"extramurs",1,"",0,28
"26551",2,116,NA,1,1,NA,NA,3,0,2,1,39.4532857,-0.3810737,165000,165000,"quatre carreres",2,"exterior",0,32
"26552",4,423,0,1,1,0,1,5,0,2,1,39.4740915,-0.3738684,1900000,1900000,"ciutat vella",5,"",0,28
"26553",2,90,0,1,0,0,1,1,0,2,1,39.4719793,-0.3780976,590000,590000,"ciutat vella",6,"exterior",0,28
"26564",2,72,NA,NA,NA,NA,NA,3,0,2,1,39.4798768,-0.3280335,135000,135000,"poblats marítims",3,"exterior",0,12
"26571",2,107,0,1,0,0,0,3,0,2,1,39.4714626,-0.3705104,490000,490000,"l'eixample",1,"",0,28
"26574",2,152,0,1,0,0,0,4,0,2,1,39.4731791,-0.3781943,339000,339000,"ciutat vella",6,"",0,28
"26577",2,105,0,1,0,0,1,3,0,2,1,39.4767733,-0.3547805,280000,280000,"el pla del real",2,"",0,28
"26578",2,247,1,1,0,0,1,4,0,2,1,39.4670562,-0.3736975,1600000,1600000,"l'eixample",6,"exterior",0,28
"26579",3,135,0,1,0,0,1,3,0,2,1,39.4695765,-0.3594885,346000,346500,"el pla del real",1,"",500,28
"26581",2,129,0,1,0,0,0,3,0,2,1,39.4635706,-0.374746,329000,329000,"l'eixample",4,"",0,28
"26582",2,171,0,1,1,0,1,5,0,2,1,39.4704387,-0.3785212,545000,545000,"ciutat vella",4,"exterior",0,28
"26583",1,121,0,1,0,0,0,4,0,2,1,39.4591367,-0.3778014,270000,270000,"l'eixample",4,"exterior",0,28
"26584",1,167,0,1,0,0,1,4,1,2,1,39.467391,-0.3781129,409000,409000,"ciutat vella",7,"exterior",0,28
"26586",2,180,0,1,0,0,0,6,0,2,1,39.4729586,-0.3801401,599900,599900,"ciutat vella",4,"",0,28
"26587",1,81,0,1,0,0,0,3,0,2,1,39.4619811,-0.3621579,219990,219990,"quatre carreres",6,"",0,40
"26589",2,200,0,0,0,0,0,6,0,2,1,39.4682848,-0.3742659,650000,650000,"l'eixample",2,"",0,25
"26591",1,100,0,1,0,0,1,3,0,2,1,39.4764923,-0.3831986,240000,240000,"extramurs",1,"",0,0
"26592",4,180,0,1,0,0,0,4,0,2,1,39.4666078,-0.375509,595000,595000,"ciutat vella",7,"exterior",0,28
"26593",2,120,0,1,0,0,0,4,0,2,1,39.4578007,-0.3754051,230000,200000,"l'eixample",2,"",-30000,28
"26594",2,89,NA,1,NA,NA,NA,3,1,2,1,39.4872017,-0.3753022,140000,140000,"la saïdia",4,"exterior",0,0
"26595",2,107,0,1,0,0,0,3,0,2,1,39.4660287,-0.3276112,270000,270000,"poblats marítims",1,"",0,40
"26596",2,85,0,0,0,0,1,2,0,2,1,39.4622208,-0.3718251,320000,320000,"l'eixample",NA,"",0,28
"26598",2,88,0,1,0,0,0,3,0,2,1,39.4681962,-0.3830437,284995,284995,"extramurs",3,"",0,28
"26600",2,129,0,1,0,0,0,5,0,2,1,39.4600782,-0.3667561,295000,295000,"l'eixample",6,"",0,28
"26602",2,90,0,1,0,0,0,3,0,2,1,39.461264,-0.3731106,270000,270000,"l'eixample",6,"",0,28
"26603",1,50,0,0,0,0,1,1,0,2,1,39.4808573,-0.376773,199000,199000,"ciutat vella",3,"",0,16
"26604",1,91,0,1,1,0,0,3,1,2,1,39.4598417,-0.3759791,360000,360000,"l'eixample",3,"",0,28
"26605",2,247,0,1,0,0,1,5,0,2,1,39.4674521,-0.3729551,999995,800000,"l'eixample",4,"",-199995,28
"26606",2,120,0,1,0,0,0,5,0,2,1,39.464683,-0.3645598,395000,395000,"l'eixample",5,"",0,28
"26609",2,98,0,1,0,0,0,3,0,2,1,39.465905,-0.3867098,289995,289995,"extramurs",3,"exterior",0,28
"26610",2,172,1,1,0,1,1,4,0,2,1,39.4914447,-0.3988952,520000,520000,"campanar",9,"",0,16
"26612",1,76,0,1,0,0,0,2,0,2,1,39.4728804,-0.3760471,295000,295000,"ciutat vella",4,"",0,28
"26613",2,220,0,1,0,0,1,5,0,2,1,39.4691088,-0.372555,685600,665000,"ciutat vella",2,"",-20600,28
"26615",2,125,NA,1,NA,NA,1,4,1,2,1,39.4659426,-0.3848541,240000,240000,"extramurs",1,"exterior",0,23
"26623",1,65,NA,0,NA,NA,NA,2,0,2,1,39.4622816,-0.4089825,55000,55000,"l'olivereta",4,"exterior",0,18
"26633",1,100,NA,1,NA,NA,NA,4,0,2,1,39.4554007,-0.4036794,135000,135000,"patraix",3,"exterior",0,28
"26638",1,70,NA,1,NA,NA,NA,2,0,2,1,39.4551251,-0.3595814,175000,175000,"quatre carreres",2,"exterior",0,24
"26659",2,209,NA,1,NA,NA,1,5,1,2,1,39.4717376,-0.3712025,750000,750000,"l'eixample",NA,"",0,25
"26663",3,300,0,1,0,0,0,4,0,2,1,39.473738,-0.3694727,950000,950000,"ciutat vella",7,"",0,28
"26664",1,120,0,1,0,0,1,4,0,2,1,39.4727838,-0.380984,349995,349995,"ciutat vella",6,"",0,28
"26674",2,152,0,1,0,0,0,5,0,2,1,39.4707791,-0.3774943,334000,334000,"ciutat vella",6,"exterior",0,28
"26701",1,110,NA,1,0,NA,NA,3,0,2,1,39.4823789,-0.3815947,146000,146000,"la saïdia",NA,"",0,20
"26703",2,68,0,0,0,0,0,3,0,2,1,39.4786347,-0.331709,130000,130000,"poblats marítims",3,"exterior",0,24
"26715",2,88,0,0,0,0,0,4,0,2,1,39.4680759,-0.3894612,239000,239000,"extramurs",2,"exterior",0,28
"26800",2,122,0,1,0,0,0,4,0,2,1,39.4973266,-0.3694933,123000,123000,"rascanya",4,"exterior",0,12
"26823",1,65,NA,1,NA,NA,NA,1,0,2,1,39.4653963,-0.3932535,119900,119900,"patraix",2,"interior",0,0
"26824",2,135,NA,1,1,NA,NA,4,0,2,1,39.4747246,-0.3540776,280000,280000,"el pla del real",6,"exterior",0,49
"26829",1,108,NA,1,NA,NA,1,4,0,2,1,39.4630508,-0.3964444,155000,155000,"patraix",1,"exterior",0,48
"26840",2,116,NA,1,1,NA,NA,3,0,2,1,39.4604923,-0.3660072,240000,240000,"quatre carreres",5,"exterior",0,27
"26868",2,100,NA,1,NA,NA,1,3,0,2,1,39.4622265,-0.3701597,495000,480000,"l'eixample",8,"exterior",-15000,49
"26869",2,83,NA,1,NA,NA,NA,3,0,2,1,39.46911,-0.3412536,129500,129500,"algirós",3,"exterior",0,16
"26880",2,99,0,1,0,0,0,3,1,2,1,39.4851017,-0.3749022,144900,144900,"la saïdia",4,"exterior",0,15
"26883",2,110,NA,1,NA,NA,NA,3,0,2,1,39.4755741,-0.3490788,230000,230000,"algirós",11,"exterior",0,13
"26889",1,60,NA,1,NA,NA,1,2,0,2,1,39.4904833,-0.3795021,99900,99900,"rascanya",NA,"",0,0
"26892",2,89,NA,1,NA,NA,NA,3,1,2,1,39.4857017,-0.3747022,137000,137000,"la saïdia",4,"exterior",0,0
"26898",1,95,0,1,0,0,0,3,0,2,1,39.4769899,-0.3500598,230000,230000,"algirós",4,"",0,16
"26901",1,94,NA,1,NA,NA,NA,4,0,2,1,39.4558007,-0.4050794,135000,135000,"patraix",3,"exterior",0,28
"26909",2,140,NA,1,0,NA,NA,4,0,2,1,39.4696708,-0.3696679,510000,510000,"l'eixample",3,"exterior",0,28
"26919",2,89,NA,1,NA,NA,NA,3,1,2,1,39.4857017,-0.3747022,137000,137000,"la saïdia",4,"exterior",0,12
"26928",1,73,NA,1,NA,NA,NA,2,0,2,1,39.4593756,-0.3713024,119000,119000,"quatre carreres",1,"exterior",0,60
"26930",1,100,NA,1,NA,NA,0,4,0,2,1,39.4924535,-0.3756803,118000,118000,"rascanya",3,"exterior",0,0
"26937",1,106,NA,0,NA,NA,1,3,0,2,1,39.4463788,-0.3906029,88500,88500,"jesús",2,"exterior",0,39
"26941",1,86,NA,1,NA,NA,0,2,0,2,1,39.468743,-0.4009064,95100,95100,"l'olivereta",3,"exterior",0,13
"26944",2,140,1,1,1,NA,1,4,0,2,1,39.4564618,-0.3585329,475000,475000,"quatre carreres",8,"exterior",0,40
"26948",2,197,NA,1,NA,NA,1,5,0,2,1,39.4635336,-0.3341212,238500,238500,"poblats marítims",4,"exterior",0,33
"26951",2,171,0,1,1,0,1,5,0,2,1,39.4705387,-0.3787212,545000,545000,"ciutat vella",4,"exterior",0,44
"26965",2,103,0,1,1,0,0,2,0,2,1,39.4662124,-0.3309652,270000,270000,"poblats marítims",NA,"",0,63
"26970",1,75,NA,0,NA,NA,NA,3,0,2,1,39.4936698,-0.3752868,75000,75000,"rascanya",3,"exterior",0,28
"26974",1,86,1,1,1,NA,NA,2,0,2,1,39.4568509,-0.3932845,163000,163000,"patraix",3,"exterior",0,0
"26992",2,80,0,1,1,1,1,2,0,1,1,39.4927683,-0.3633796,240000,240000,"rascanya",8,"exterior",0,0
"27013",1,79,NA,1,NA,NA,1,3,0,2,1,39.4665992,-0.3355203,135000,135000,"algirós",1,"exterior",0,32
"27019",2,120,0,1,0,0,0,4,0,1,1,39.4722848,-0.3964338,172000,172000,"l'olivereta",3,"exterior",0,29
"27023",2,150,NA,1,NA,NA,1,5,0,2,1,39.495165,-0.3770841,150000,150000,"rascanya",2,"exterior",0,44
"27044",2,134,0,1,0,0,0,3,0,1,1,39.4702755,-0.3837497,305000,305000,"extramurs",5,"exterior",0,28
"27048",1,82,NA,0,NA,NA,1,1,0,2,1,39.4731732,-0.3875128,215000,215000,"extramurs",1,"exterior",0,0
"27074",2,121,NA,1,NA,NA,NA,3,0,2,1,39.4710329,-0.3797696,340000,340000,"ciutat vella",3,"exterior",0,0
"27078",2,110,1,1,1,1,1,3,0,2,1,39.4541809,-0.3607596,247000,247000,"quatre carreres",3,"exterior",0,32
"27084",2,106,1,1,1,1,1,3,0,2,1,39.4884088,-0.4037193,280000,280000,"campanar",10,"exterior",0,16
"27089",2,90,0,1,0,0,0,3,0,2,1,39.4841017,-0.3767022,134000,134000,"la saïdia",4,"exterior",0,0
"27097",2,174,0,1,1,1,1,3,0,2,1,39.4834174,-0.4018198,430000,430000,"campanar",1,"exterior",0,8
"27098",2,116,0,1,0,0,0,3,0,2,1,39.4562857,-0.3782737,165000,165000,"quatre carreres",2,"exterior",0,0
"27114",2,89,0,1,0,0,0,3,1,2,1,39.4861017,-0.3755022,144500,144500,"la saïdia",4,"exterior",0,20
"27115",1,54,1,1,1,1,NA,1,0,2,1,39.4919394,-0.4086031,165000,165000,"campanar",1,"exterior",0,0
"27128",2,89,NA,1,NA,NA,NA,3,1,2,1,39.4854017,-0.3764022,137000,137000,"la saïdia",4,"exterior",0,0
"27133",2,81,0,1,0,0,0,3,0,2,1,39.4870017,-0.3755022,145000,145000,"la saïdia",4,"exterior",0,0
"27140",2,88,1,1,1,1,1,3,0,2,1,39.4977239,-0.3917028,375000,375000,"benicalap",7,"exterior",0,8
"27142",1,96,NA,0,0,0,NA,2,0,2,1,39.4481489,-0.3668564,62400,62400,"quatre carreres",4,"",0,27
"27150",2,90,NA,1,NA,NA,NA,3,1,2,1,39.4867017,-0.3727022,137000,137000,"la saïdia",4,"",0,0
"27151",1,65,NA,1,NA,NA,NA,3,0,2,1,39.4742822,-0.3303337,153000,153000,"poblats marítims",6,"",0,12
"27180",1,95,NA,1,1,NA,NA,3,0,2,1,39.4579513,-0.3945142,159000,159000,"patraix",4,"exterior",0,51
"27189",1,67,0,1,0,0,0,2,0,2,1,39.4568843,-0.3907244,85000,85000,"jesús",4,"exterior",0,16
"27190",1,75,NA,0,NA,NA,NA,2,0,2,1,39.4568843,-0.3904244,85000,85000,"jesús",4,"exterior",0,13
"27194",2,122,0,1,1,0,0,4,0,2,1,39.463344,-0.3944707,220000,220000,"patraix",2,"exterior",0,41
"27196",1,78,0,1,0,0,0,3,0,2,1,39.467603,-0.3926407,109000,109000,"patraix",4,"interior",0,41
"27200",2,170,0,1,0,0,0,4,1,2,1,39.4732185,-0.3938601,270000,270000,"extramurs",9,"exterior",0,41
