"","ba�os","m2","jardin","ascensor","parking","piscina","terraza","habitaciones","a_reformar","tipo_vendedor","tipo_inmueble","latitude","longitude","precio","precio_final","distrito","planta","vistas","variacion_precio","dias_venta"
"3151",1,41,NA,0,0,NA,NA,1,0,2,1,39.4763818,-0.3822821,180000,180000,"ciutat vella",1,"exterior",0,28
"3169",1,71,NA,0,NA,NA,NA,3,0,2,1,39.50054,-0.37002,53000,53000,"rascanya",5,"exterior",0,25
"3184",1,78,0,1,0,0,NA,1,0,2,1,39.4757845,-0.3802527,244000,244000,"ciutat vella",5,"exterior",0,28
"3198",2,213,NA,1,1,NA,1,6,0,2,1,39.4646945,-0.3312496,350000,350000,"poblats marítims",1,"exterior",0,40
"3271",1,64,0,0,0,0,0,2,0,2,1,39.4717517,-0.3284875,130000,130000,"poblats marítims",NA,"",0,60
"3345",1,57,NA,0,1,NA,NA,2,0,2,1,39.463824,-0.3726415,149000,149000,"l'eixample",2,"exterior",0,44
"3426",1,69,0,1,0,0,NA,2,0,2,1,39.4957103,-0.3689959,70000,70000,"rascanya",4,"exterior",0,28
"3432",3,264,NA,1,NA,0,NA,4,0,2,1,39.4729006,-0.3909519,445000,445000,"extramurs",3,"exterior",0,51
"3434",2,213,NA,1,0,NA,1,4,0,2,1,39.4689336,-0.3691422,1250000,1250000,"l'eixample",3,"exterior",0,20
"3489",2,155,NA,1,NA,NA,NA,3,0,2,1,39.4662258,-0.3504577,199900,199900,"camins al grau",5,"exterior",0,37
"3519",2,220,NA,1,0,NA,1,6,1,2,1,39.4700306,-0.3662455,620000,620000,"l'eixample",2,"exterior",0,25
"3521",2,98,0,1,1,0,1,4,1,1,1,39.474405,-0.3841661,224950,224950,"extramurs",3,"exterior",0,28
"3581",1,76,NA,1,0,NA,NA,3,0,2,1,39.4685155,-0.3894804,158000,158000,"l'olivereta",9,"interior",0,16
"3733",1,60,NA,0,NA,NA,NA,2,0,2,1,39.4528452,-0.3324029,80000,80000,"poblats marítims",1,"exterior",0,0
"3781",2,117,0,1,0,0,0,3,0,2,1,39.465473,-0.331663,225000,225000,"poblats marítims",4,"exterior",0,32
"3941",2,118,0,1,0,0,0,3,0,2,1,39.4754422,-0.3897423,290000,290000,"extramurs",8,"exterior",0,28
"3962",1,80,NA,1,0,NA,NA,3,0,2,1,39.4833727,-0.3589388,155000,155000,"benimaclet",4,"exterior",0,26
"4066",4,423,NA,1,1,NA,1,5,0,2,1,39.475083,-0.3729876,2600000,2600000,"ciutat vella",6,"",0,28
"4176",2,132,0,1,1,0,1,2,0,1,1,39.4675374,-0.380479,360000,360000,"extramurs",1,"exterior",0,13
"4190",2,166,0,1,0,0,0,5,1,2,1,39.474586,-0.373112,770000,770000,"ciutat vella",6,"exterior",0,28
"4217",2,87,NA,1,0,NA,NA,3,0,2,1,39.473255,-0.3813845,149000,149000,"ciutat vella",3,"exterior",0,3
"4240",2,113,0,1,0,0,1,3,0,1,1,39.4576703,-0.3730241,283500,283500,"quatre carreres",8,"exterior",0,12
"4257",2,220,0,1,0,0,0,4,0,2,1,39.467492,-0.3682347,1200000,1200000,"l'eixample",3,"",0,16
"4282",2,155,0,1,1,0,1,3,0,2,1,39.4620452,-0.385763,428000,428000,"extramurs",NA,"",0,0
"4317",2,183,NA,1,0,NA,NA,4,1,2,1,39.464816,-0.3717955,465000,465000,"l'eixample",5,"exterior",0,25
"4321",2,100,NA,1,1,NA,NA,3,0,2,1,39.4647136,-0.3958071,170000,170000,"patraix",3,"exterior",0,48
"4361",2,80,0,1,0,0,1,2,0,1,1,39.4666681,-0.386448,269900,269900,"extramurs",1,"exterior",0,44
"4369",1,46,1,1,1,1,1,1,0,2,1,39.4954203,-0.3890678,150000,150000,"benicalap",5,"exterior",0,3
"4423",1,87,0,1,0,0,0,3,0,1,1,39.464689,-0.384863,215000,215000,"extramurs",5,"exterior",0,28
"4444",3,272,NA,1,1,NA,1,6,0,2,1,39.4816091,-0.3621422,600000,600000,"el pla del real",10,"exterior",0,41
"4451",4,300,0,1,1,1,1,6,0,2,1,39.4619619,-0.3832698,580000,580000,"extramurs",7,"exterior",0,51
"4531",2,117,NA,1,1,NA,1,4,0,2,1,39.4624382,-0.4013308,243000,243000,"patraix",1,"exterior",0,44
"4555",2,120,1,1,1,1,NA,3,0,2,1,39.4582188,-0.3481864,450000,450000,"camins al grau",3,"exterior",0,8
"4585",1,82,NA,0,0,NA,NA,3,0,2,1,39.4878052,-0.3603756,124000,124000,"benimaclet",4,"exterior",0,16
"4620",2,115,0,1,0,0,0,4,0,1,1,39.488437,-0.384216,210000,210000,"la saïdia",7,"exterior",0,12
"4663",2,90,0,1,0,0,0,3,0,2,1,39.4683206,-0.3739835,350000,350000,"ciutat vella",5,"exterior",0,0
"4743",2,140,NA,1,0,NA,NA,3,0,2,1,39.4665019,-0.3920436,250000,250000,"patraix",5,"exterior",0,28
"4772",2,85,NA,1,0,NA,NA,2,1,2,1,39.4759519,-0.3697688,134000,134000,"ciutat vella",2,"exterior",0,28
"4829",3,212,0,1,0,0,0,5,0,2,1,39.4706336,-0.3578348,502016,502016,"el pla del real",4,"exterior",0,20
"4830",3,180,0,1,0,0,1,4,0,2,1,39.4670336,-0.3587348,608000,608000,"el pla del real",5,"exterior",0,20
"4965",1,56,0,0,0,0,NA,3,0,2,1,39.4959375,-0.3701623,62000,62000,"rascanya",NA,"",0,28
"4996",3,205,0,1,1,0,0,4,0,2,1,39.4671894,-0.361759,875000,875000,"l'eixample",1,"exterior",0,28
"5019",3,286,NA,1,0,NA,1,6,0,2,1,39.4688082,-0.3765156,565000,565000,"l'eixample",8,"exterior",0,20
"5158",1,100,NA,1,NA,NA,NA,3,0,2,1,39.4685123,-0.3920955,190000,190000,"extramurs",4,"exterior",0,0
"5184",1,103,0,1,0,0,1,3,1,2,1,39.4654494,-0.383343,220000,220000,"extramurs",1,"exterior",0,41
"5218",2,127,NA,1,0,NA,NA,2,0,2,1,39.4620492,-0.3860939,220000,220000,"extramurs",2,"interior",0,44
"5219",2,120,0,1,1,0,1,4,0,1,1,39.4630802,-0.4018634,225000,225000,"patraix",2,"exterior",0,0
"5223",1,60,NA,1,0,NA,1,2,0,2,1,39.4423953,-0.3902035,75000,75000,"jesús",NA,"",0,13
"5324",4,300,0,1,0,0,1,4,0,2,1,39.4658516,-0.3613407,950000,950000,"l'eixample",1,"",0,41
"5336",2,101,0,1,0,0,0,2,0,2,1,39.48534,-0.3810217,260000,260000,"la saïdia",NA,"",0,0
"5337",2,101,0,1,0,0,0,2,0,2,1,39.48534,-0.3810217,256000,256000,"la saïdia",NA,"",0,0
"5338",1,65,0,1,0,0,0,2,0,2,1,39.48534,-0.3810217,187500,187500,"la saïdia",NA,"",0,0
"5339",2,102,0,1,0,0,0,2,0,2,1,39.48534,-0.3810217,269000,269000,"la saïdia",NA,"",0,0
"5341",4,209,NA,1,1,NA,NA,4,0,2,1,39.4645894,-0.364059,875000,875000,"l'eixample",1,"exterior",0,28
"5445",2,115,0,1,0,0,1,3,0,2,1,39.4976416,-0.3848216,251000,251000,"benicalap",NA,"",0,13
"5456",2,134,0,1,0,0,1,4,0,2,1,39.4955416,-0.3842216,280000,280000,"benicalap",NA,"",0,8
"5459",2,110,0,1,0,0,1,3,0,2,1,39.4961416,-0.3857216,250000,250000,"benicalap",NA,"",0,0
"5487",1,130,NA,1,0,NA,1,3,0,2,1,39.4689414,-0.3906583,200000,200000,"l'olivereta",1,"exterior",0,16
"5526",2,100,NA,1,1,NA,NA,3,0,2,1,39.4749976,-0.3844426,250000,250000,"extramurs",6,"exterior",0,16
"5637",2,100,NA,1,NA,NA,NA,4,0,2,1,39.4701597,-0.350368,195000,195000,"algirós",3,"exterior",0,29
"5658",1,104,NA,1,0,NA,NA,4,0,2,1,39.4694259,-0.3300593,180000,180000,"poblats marítims",6,"exterior",0,20
"5686",2,120,NA,1,0,NA,1,3,0,2,1,39.4736537,-0.3449604,210000,210000,"algirós",1,"exterior",0,10
"5744",1,75,NA,1,NA,NA,NA,3,0,2,1,39.4687796,-0.394457,110000,110000,"extramurs",2,"interior",0,16
"5759",2,95,1,1,1,NA,1,3,0,2,1,39.473255,-0.3813845,127777,127000,"ciutat vella",1,"exterior",-777,21
"5804",2,131,0,1,0,0,1,2,0,2,1,39.4637566,-0.3676685,420000,420000,"l'eixample",1,"exterior",0,41
"5806",2,97,0,1,0,0,0,4,0,2,1,39.4690597,-0.350568,195000,195000,"algirós",3,"exterior",0,32
"5928",2,106,0,1,0,0,0,4,0,2,1,39.4847203,-0.3699167,155000,155000,"la saïdia",3,"exterior",0,28
"5936",1,70,NA,0,0,NA,NA,3,0,2,1,39.4742734,-0.3298593,140000,140000,"poblats marítims",3,"exterior",0,13
"5956",3,290,0,1,0,0,1,5,0,2,1,39.470091,-0.3807129,765000,765000,"ciutat vella",4,"exterior",0,25
"5969",1,86,NA,1,0,NA,1,1,0,2,1,39.4940151,-0.373071,165000,165000,"rascanya",7,"exterior",0,0
"6073",1,100,0,1,0,0,1,2,0,1,1,39.4686,-0.391501,179000,179000,"l'olivereta",10,"exterior",0,0
"6128",2,103,NA,1,0,NA,NA,4,0,2,1,39.4559764,-0.4040178,150000,150000,"patraix",2,"exterior",0,41
"6240",1,80,NA,0,0,NA,NA,3,0,2,1,39.4497182,-0.3680078,130000,130000,"quatre carreres",2,"exterior",0,0
"6243",1,62,NA,0,0,0,0,1,0,2,1,39.4843632,-0.3966938,160000,160000,"campanar",1,"",0,37
"6253",1,73,NA,0,0,NA,NA,3,0,2,1,39.4917198,-0.3851941,99900,99900,"benicalap",5,"exterior",0,13
"6255",2,124,1,1,1,1,1,3,0,2,1,39.4440846,-0.3890105,320000,320000,"jesús",17,"exterior",0,16
"6300",2,105,0,1,0,0,0,3,0,1,1,39.4785175,-0.3279128,180000,178000,"poblats marítims",1,"exterior",-2000,32
"6370",1,90,NA,1,0,NA,NA,3,0,2,1,39.4892276,-0.3900014,159900,159900,"benicalap",1,"exterior",0,8
"6372",1,91,NA,1,0,NA,1,3,0,2,1,39.4915276,-0.3912014,150000,150000,"benicalap",1,"exterior",0,23
"6387",2,97,NA,1,0,NA,1,2,0,2,1,39.4771125,-0.3646702,415000,415000,"el pla del real",5,"exterior",0,0
"6435",2,132,0,1,0,0,1,4,0,2,1,39.4946416,-0.3823216,293000,293000,"benicalap",NA,"",0,39
"6440",2,98,NA,1,1,NA,NA,3,0,2,1,39.4557698,-0.3842664,153000,153000,"jesús",1,"exterior",0,11
"6456",1,95,NA,1,0,NA,NA,3,1,2,1,39.4651897,-0.35783,152000,152000,"el pla del real",1,"exterior",0,28
"6493",1,90,NA,0,NA,0,NA,3,0,2,1,39.4556054,-0.374046,93000,93000,"quatre carreres",3,"exterior",0,12
"6571",2,213,NA,1,1,NA,1,4,0,2,1,39.4690926,-0.3720168,720000,720000,"l'eixample",6,"exterior",0,28
"6634",2,120,0,1,0,0,0,3,0,2,1,39.4642043,-0.332259,300000,300000,"poblats marítims",5,"exterior",0,37
"6664",2,144,NA,1,0,NA,NA,2,0,2,1,39.4771348,-0.3811823,350000,350000,"ciutat vella",2,"exterior",0,44
"6699",1,70,NA,0,0,NA,NA,3,0,2,1,39.4749734,-0.3285593,190000,190000,"poblats marítims",3,"exterior",0,40
"6701",1,87,NA,NA,NA,NA,NA,3,0,2,1,39.4563084,-0.3730317,144500,137000,"quatre carreres",NA,"",-7500,37
