id;ad_characteristics_bathNumber;ad_characteristics_constructedArea;ad_characteristics_hasGarden;ad_characteristics_hasLift;ad_characteristics_hasParking;ad_characteristics_hasSwimmingPool;ad_characteristics_hasTerrace;ad_characteristics_roomNumber;ad_condition_isGoodCondition;ad_condition_isNeedsRenovating;ad_operation;ad_owner_type;ad_typology;address_location_x;date_insert;date_update;latitude;longitude;price;url;price_last;date_last;address_location_y;distrito;ascensor;ascensor_bool;planta;vistas;variacion_precio;day_insert;day_last;tiempo_venta;vendido
600;1.0;70.0;0.0;1.0;;0.0;1.0;2.0;1.0;0.0;1;2;1;"[""Calle Bernia"", ""Barrio En Corts"", ""Distrito Quatre Carreres"", ""València"", ""Valencia, València""]";2021-12-30 18:05:38.789952;2021-12-30 18:05:38.790024;394.528.241;-0.3706112;115000;https://www.idealista.com/inmueble/25256750/;115000;2022-02-23 11:14:03.923316;"[""Calle Bernia"", ""Barrio En Corts"", ""Distrito Quatre Carreres"", ""València"", ""Valencia, València""]";quatre carreres;con ascensor;1.0;2.0;exterior;0;30/12/2021;23/02/2022;55;0
624;1.0;63.0;0.0;1.0;0.0;0.0;1.0;1.0;1.0;0.0;1;1;1;"[""Calle Dénia, 10"", ""Barrio Russafa"", ""Distrito L'Eixample"", ""València"", ""Valencia, València""]";2021-12-30 17:06:58.152027;2021-12-30 17:06:58.152027;394.635.224;-0.3734334;250000;https://www.idealista.com/inmueble/25681536/;250000;2022-01-14 23:39:43.787594;"[""Calle Dénia, 10"", ""Barrio Russafa"", ""Distrito L'Eixample"", ""València"", ""Valencia, València""]";l'eixample;con ascensor;1.0;5.0;exterior;0;30/12/2021;14/01/2022;15;1
643;2.0;150.0;0.0;1.0;0.0;0.0;0.0;4.0;1.0;0.0;1;2;1;"[""Barrio El Mercat"", ""Distrito Ciutat Vella"", ""València"", ""Valencia, València""]";2022-02-12 13:00:11.569127;2022-02-12 13:00:11.569193;394.713.245;-0.376338;290000;https://www.idealista.com/inmueble/25839422/;290000;2022-02-23 11:46:27.529427;"[""Barrio El Mercat"", ""Distrito Ciutat Vella"", ""València"", ""Valencia, València""]";ciutat vella;con ascensor;1.0;3.0;exterior;0;12/02/2022;23/02/2022;11;0
690;1.0;98.0;0.0;1.0;0.0;0.0;0.0;3.0;1.0;0.0;1;1;1;"[""Avenida de Pío XII, 49"", ""Barrio Campanar"", ""Distrito Campanar"", ""València"", ""Valencia, València""]";2022-02-09 03:49:22.526664;2022-02-09 03:49:22.526706;3.948.506.070.000.000;-0.3959327;148000;https://www.idealista.com/inmueble/26104165/;148000;2022-02-23 11:49:30.900070;"[""Avenida de Pío XII, 49"", ""Barrio Campanar"", ""Distrito Campanar"", ""València"", ""Valencia, València""]";campanar;con ascensor;1.0;7.0;exterior;0;09/02/2022;23/02/2022;14;0
730;2.0;90.0;0.0;1.0;0.0;0.0;0.0;2.0;1.0;0.0;1;1;1;"[""Calle Ruaya, 35"", ""Barrio Morvedre"", ""Distrito La Saïdia"", ""València"", ""Valencia, València""]";2021-12-30 18:45:31.619171;2021-12-30 18:45:31.619171;394.853.771;-0.3777383;175000;https://www.idealista.com/inmueble/26661546/;175000;2022-02-23 11:26:07.500130;"[""Calle Ruaya, 35"", ""Barrio Morvedre"", ""Distrito La Saïdia"", ""València"", ""Valencia, València""]";la saïdia;con ascensor;1.0;6.0;exterior;0;30/12/2021;23/02/2022;55;0
741;1.0;60.0;0.0;0.0;0.0;0.0;1.0;2.0;1.0;0.0;1;1;1;"[""Calle Cervantes, 25"", ""Barrio La Roqueta"", ""Distrito Extramurs"", ""València"", ""Valencia, València""]";2022-02-09 03:25:40.721641;2022-02-09 03:25:40.721736;39.467.375.200.000.000;-0.3817307;160000;https://www.idealista.com/inmueble/26722470/;160000;2022-02-23 11:41:39.816970;"[""Calle Cervantes, 25"", ""Barrio La Roqueta"", ""Distrito Extramurs"", ""València"", ""Valencia, València""]";extramurs;sin ascensor;0.0;2.0;exterior;0;09/02/2022;23/02/2022;14;0
768;1.0;76.0;0.0;1.0;;0.0;;3.0;1.0;0.0;1;2;1;"[""Calle Musico Espi, 10"", ""Barrio Torrefiel"", ""Distrito Rascanya"", ""València"", ""Valencia, València""]";2021-12-30 17:33:43.862105;2021-12-30 17:33:43.862105;394.967.343;-0.3736376;101900;https://www.idealista.com/inmueble/26971029/;101900;2022-02-23 11:11:59.211224;"[""Calle Musico Espi, 10"", ""Barrio Torrefiel"", ""Distrito Rascanya"", ""València"", ""Valencia, València""]";rascanya;con ascensor;1.0;5.0;exterior;0;30/12/2021;23/02/2022;55;0
772;1.0;85.0;0.0;1.0;0.0;0.0;1.0;2.0;1.0;0.0;1;1;1;"[""Calle Ministro Luis Mayans, 19"", ""Barrio Morvedre"", ""Distrito La Saïdia"", ""València"", ""Valencia, València""]";2021-12-30 18:45:44.362988;2021-12-30 18:45:44.362988;394.857.958;-0.3719328;150000;https://www.idealista.com/inmueble/27004136/;139000;2022-02-23 11:26:37.232820;"[""Calle Ministro Luis Mayans, 19"", ""Barrio Morvedre"", ""Distrito La Saïdia"", ""València"", ""Valencia, València""]";la saïdia;con ascensor;1.0;1.0;interior;-11000;30/12/2021;23/02/2022;55;0
781;1.0;80.0;1.0;1.0;1.0;1.0;1.0;1.0;1.0;0.0;1;1;1;"[""Calle Reina Violante, 5"", ""Barrio Sant Pau"", ""Distrito Campanar"", ""València"", ""Valencia, València""]";2022-01-11 20:27:55.702155;2022-01-11 20:27:55.702155;39.485.402;-0.4020787;275000;https://www.idealista.com/inmueble/27093291/;275000;2022-02-23 11:50:28.646470;"[""Calle Reina Violante, 5"", ""Barrio Sant Pau"", ""Distrito Campanar"", ""València"", ""Valencia, València""]";campanar;con ascensor;1.0;7.0;exterior;0;11/01/2022;23/02/2022;43;0
878;2.0;245.0;0.0;1.0;;0.0;1.0;5.0;1.0;0.0;1;2;1;"[""Calle Aparisi y Guijarro"", ""Barrio La Xerea"", ""Distrito Ciutat Vella"", ""València"", ""Valencia, València""]";2021-12-30 15:35:05.090709;2021-12-30 15:35:05.090709;394.734.359;-0.3738528;700000;https://www.idealista.com/inmueble/27604576/;700000;2022-02-23 11:47:55.316130;"[""Calle Aparisi y Guijarro"", ""Barrio La Xerea"", ""Distrito Ciutat Vella"", ""València"", ""Valencia, València""]";ciutat vella;con ascensor;1.0;2.0;exterior;0;30/12/2021;23/02/2022;55;0
