id;ad_characteristics_bathNumber;ad_characteristics_constructedArea;ad_characteristics_hasGarden;ad_characteristics_hasLift;ad_characteristics_hasParking;ad_characteristics_hasSwimmingPool;ad_characteristics_hasTerrace;ad_characteristics_roomNumber;ad_condition_isGoodCondition;ad_condition_isNeedsRenovating;ad_operation;ad_owner_type;ad_typology;address_location;date_insert;date_update;latitude;longitude;price;url;price_last;date_last;distrito;barrio;features;armarios empotrados;acceso adaptado;aire acondicionado;balcon;trastero;garaje incluido;calefaccion;planta;vistas;variacion_precio;day_insert;day_last;tiempo_venta;vendido
1831;2.0;200.0;0.0;1.0;0.0;0.0;1.0;5.0;1.0;0.0;1;2;1;"[""Barrio El Pla del Remei"", ""Distrito L'Eixample"", ""València"", ""Valencia, València""]";2021-12-30 16:43:52.474695;2021-12-30 16:43:52.474695;39.472472499999995;-0.36859640000000005;535000;https://www.idealista.com/inmueble/33875563/;535000;2022-01-27 06:04:11.549394;l'eixample;el pla del remei;"[""200 m² construidos, 194 m² útiles"", ""5 habitaciones"", ""2 baños"", ""Terraza"", ""Segunda mano/buen estado"", ""Armarios empotrados"", ""Orientación este"", ""Construido en 1966"", ""Calefacción individual: Gas natural"", ""Acceso adaptado a personas con movilidad reducida"", ""Planta 5ª exterior"", ""con ascensor"", ""Aire acondicionado""]";1.0;1.0;1.0;0.0;0.0;0.0;1.0;5.0;exterior;0;2021-12-30;2022-01-27;28 days;1
1848;4.0;274.0;0.0;1.0;1.0;1.0;0.0;5.0;1.0;0.0;1;2;1;"[""Calle de maluquer"", ""Barrio Arrancapins"", ""Distrito Extramurs"", ""València"", ""Valencia, València""]";2021-12-30 20:21:56.810175;2021-12-30 20:21:56.810175;39.4648223;-0.38622940000000006;525000;https://www.idealista.com/inmueble/33930424/;525000;2022-01-27 06:09:07.602571;extramurs;arrancapins;"[""274 m² construidos"", ""5 habitaciones"", ""4 baños"", ""Plaza de garaje incluida en el precio"", ""Segunda mano/buen estado"", ""Armarios empotrados"", ""Trastero"", ""Orientación este"", ""Calefacción individual: Gas natural"", ""Acceso adaptado a personas con movilidad reducida"", ""Planta 6ª exterior"", ""con ascensor"", ""Aire acondicionado"", ""Piscina""]";1.0;1.0;1.0;0.0;1.0;1.0;1.0;6.0;exterior;0;2021-12-30;2022-01-27;28 days;1
1890;2.0;241.0;0.0;1.0;1.0;0.0;1.0;4.0;1.0;0.0;1;2;1;"[""Calle de fra pere vives"", ""Barrio Sant Antoni"", ""Distrito La Saïdia"", ""València"", ""Valencia, València""]";2021-12-30 18:33:31.860927;2021-12-30 18:33:31.860927;39.48512720000001;-0.3711683;485000;https://www.idealista.com/inmueble/33955213/;485000;2021-12-30 18:33:19.116260;la saïdia;sant antoni;"[""241 m² construidos"", ""4 habitaciones"", ""2 baños"", ""Terraza"", ""Balcón"", ""Plaza de garaje incluida en el precio"", ""Segunda mano/buen estado"", ""Armarios empotrados"", ""Trastero"", ""Orientación este"", ""Construido en 1998"", ""Planta 7ª exterior"", ""con ascensor"", ""Aire acondicionado""]";1.0;0.0;1.0;1.0;1.0;1.0;0.0;7.0;exterior;0;2021-12-30;2021-12-30;0 days;1
1911;0.0;0.0;0.0;1.0;0.0;1.0;0.0;3.0;0.0;0.0;1;2;10;"[""Camino Assagador del Morro, 21"", ""Barrio Malilla"", ""Distrito Quatre Carreres"", ""València"", ""Valencia, València""]";2022-01-16 01:23:48.843407;2022-01-16 01:23:48.843487;39.4455437;-0.37455920000000004;224000;https://www.idealista.com/obra-nueva/34108547/;224000;2022-01-28 19:53:09.247528;quatre carreres;malilla;"[""Edificio de nueva planta"", ""Pisos y dúplex de 3 habitaciones"", ""Fecha de entrega de llaves: inmediata"", ""Obra nueva terminada"", ""Ascensor"", ""Piscina""]";0.0;0.0;0.0;0.0;0.0;0.0;0.0;;;0;2022-01-16;2022-01-28;12 days;1
1973;3.0;220.0;0.0;1.0;1.0;0.0;0.0;3.0;1.0;0.0;1;2;1;"[""Calle colón"", ""Barrio El Pla del Remei"", ""Distrito L'Eixample"", ""València"", ""Valencia, València""]";2021-12-30 16:43:40.374611;2021-12-30 16:43:40.374611;39.4654734;-0.372251;800000;https://www.idealista.com/inmueble/34396991/;800000;2022-01-27 06:04:11.448529;l'eixample;el pla del remei;"[""220 m² construidos"", ""3 habitaciones"", ""3 baños"", ""Plaza de garaje incluida en el precio"", ""Segunda mano/buen estado"", ""Armarios empotrados"", ""Orientación oeste"", ""Construido en 1987"", ""Planta 6ª interior"", ""con ascensor"", ""Aire acondicionado""]";1.0;0.0;1.0;0.0;0.0;1.0;0.0;6.0;interior;0;2021-12-30;2022-01-27;28 days;1
1974;5.0;350.0;1.0;1.0;0.0;1.0;0.0;6.0;1.0;0.0;1;2;1;"[""Calle historiador diago"", ""Barrio Arrancapins"", ""Distrito Extramurs"", ""València"", ""Valencia, València""]";2021-12-30 20:22:08.753558;2021-12-30 20:22:08.753558;39.467201700000004;-0.382367;900000;https://www.idealista.com/inmueble/34396995/;900000;2022-01-27 06:09:07.474530;extramurs;arrancapins;"[""350 m² construidos"", ""6 habitaciones"", ""5 baños"", ""Segunda mano/buen estado"", ""Armarios empotrados"", ""Trastero"", ""Construido en 1952"", ""Planta 1ª exterior"", ""con ascensor"", ""Aire acondicionado"", ""Piscina"", ""Zonas verdes""]";1.0;0.0;1.0;0.0;1.0;0.0;0.0;1.0;exterior;0;2021-12-30;2022-01-27;28 days;1
1979;1.0;100.0;0.0;1.0;0.0;0.0;0.0;3.0;1.0;0.0;1;1;1;"[""Calle de finestrat, 26"", ""Urb. monteolivete"", ""Barrio Mont-Olivet"", ""Distrito Quatre Carreres"", ""València"", ""Valencia, València""]";2021-12-18 21:48:25.177486;2021-12-18 21:48:25.177486;39.4584188;-0.3631232;123000;https://www.idealista.com/inmueble/34416033/;123000;2022-02-09 02:39:09.231742;quatre carreres;mont-olivet;"[""100 m² construidos, 96 m² útiles"", ""3 habitaciones"", ""1 baño"", ""Balcón"", ""Segunda mano/buen estado"", ""Armarios empotrados"", ""Trastero"", ""Orientación sur, este"", ""Planta 1ª exterior"", ""con ascensor"", ""Aire acondicionado""]";1.0;0.0;1.0;1.0;1.0;0.0;0.0;1.0;exterior;0;2021-12-18;2022-02-09;53 days;1
1997;1.0;69.0;0.0;0.0;0.0;0.0;0.0;2.0;1.0;0.0;1;2;1;"[""Calle de l'Actor Mauri"", ""Barrio Beteró"", ""Distrito Poblats Marítims"", ""València"", ""Valencia, València""]";2021-12-30 18:13:25.192144;2021-12-30 18:13:25.192144;39.471579799999994;-0.3365066;85000;https://www.idealista.com/inmueble/34597299/;85000;2022-01-14 22:50:57.851646;poblats marítims;beteró;"[""69 m² construidos"", ""2 habitaciones"", ""1 baño"", ""Segunda mano/buen estado"", ""Armarios empotrados"", ""Orientación norte"", ""Construido en 1965"", ""No dispone de calefacción"", ""Planta 4ª"", ""sin ascensor"", ""Aire acondicionado""]";1.0;0.0;1.0;0.0;0.0;0.0;1.0;4.0;;0;2021-12-30;2022-01-14;15 days;1
2123;1.0;70.0;0.0;0.0;0.0;0.0;0.0;2.0;1.0;0.0;1;2;1;"[""Calle de la Florista"", ""Barrio Benicalap"", ""Distrito Benicalap"", ""València"", ""Valencia, València""]";2022-01-15 01:02:38.827403;2022-01-15 01:02:38.827510;39.493957200000004;-0.3947527;88640;https://www.idealista.com/inmueble/34833718/;88640;2022-01-27 06:19:18.941142;benicalap;benicalap;"[""70 m² construidos"", ""2 habitaciones"", ""1 baño"", ""Segunda mano/buen estado""]";0.0;0.0;0.0;0.0;0.0;0.0;0.0;;;0;2022-01-15;2022-01-27;12 days;1
2202;2.0;92.0;0.0;1.0;0.0;0.0;0.0;3.0;0.0;1.0;1;2;1;"[""Barrio Russafa"", ""Distrito L'Eixample"", ""València"", ""Valencia, València""]";2021-12-30 16:20:38.355634;2021-12-30 16:20:38.355634;39.456669700000006;-0.37631809999999993;160000;https://www.idealista.com/inmueble/35078231/;160000;2021-12-30 16:20:23.674851;l'eixample;russafa;"[""92 m² construidos, 90 m² útiles"", ""3 habitaciones"", ""2 baños"", ""Segunda mano/para reformar"", ""Orientación sur, este"", ""Planta 3ª exterior"", ""con ascensor""]";0.0;0.0;0.0;0.0;0.0;0.0;0.0;3.0;exterior;0;2021-12-30;2021-12-30;0 days;1
