"";"baños";"m2";"jardin";"ascensor";"piscina";"terraza";"habitaciones";"a_reformar";"tipo_vendedor";"latitud";"longitud";"url";"precio_final";"distrito";"barrio";"armarios.empotrados";"acceso.adaptado";"aire.acondicionado";"balcon";"trastero";"garaje.incluido";"calefaccion";"planta";"vistas";"variacion_precio";"dias_venta";"planta_cat";"preciom2"
"407";1;75;"0";"1";"0";"1";2;"0";"2";39,4817659;-0,3311895;"https://www.idealista.com/inmueble/91132874/";125000;"poblats marítims";"playa de la malvarrosa";"0";"0";"0";"1";"1";"0";"1";3;"1";0;0;"Media";1666,66666666667
"408";1;103;"0";"0";"0";"0";3;"0";"2";39,4751341;-0,3298484;"https://www.idealista.com/inmueble/91132944/";109500;"poblats marítims";"el cabanyal-el canyamelar";"0";"0";"0";"1";"0";"0";"1";3;"1";0;40;"Media";1063,1067961165
"409";1;87;"0";"1";"0";"0";3;"0";"2";39,4591084;-0,3723317;"https://www.idealista.com/inmueble/91132963/";144500;"quatre carreres";"en corts";"0";"0";"0";"1";"0";"0";"1";3;"0";0;24;"Media";1660,91954022989
"410";1;75;"0";"1";"1";"0";2;"0";"2";39,4548292;-0,3575475;"https://www.idealista.com/inmueble/91133016/";270000;"quatre carreres";"ciutat de les arts i de les ciencies";"1";"0";"0";"0";"1";"0";"1";2;"1";0;40;"Baja";3600
"411";2;120;"0";"1";"0";"0";3;"0";"2";39,4552235;-0,3495331;"https://www.idealista.com/inmueble/91133029/";325000;"camins al grau";"penya-roja";"1";"0";"1";"1";"0";"0";"1";3;"1";0;16;"Media";2708,33333333333
"412";2;130;"0";"1";"0";"0";4;"0";"2";39,4660519;-0,3856983;"https://www.idealista.com/inmueble/91137063/";232000;"extramurs";"arrancapins";"1";"1";"1";"1";"1";"1";"1";2;"1";0;0;"Baja";1784,61538461538
"413";1;68;"0";"0";"0";"0";3;"0";"2";39,4506772;-0,3321051;"https://www.idealista.com/inmueble/91141766/";69000;"poblats marítims";"natzaret";"0";"0";"1";"0";"0";"0";"1";3;"1";0;24;"Media";1014,70588235294
"414";1;77;"0";"1";"0";"0";2;"0";"2";39,4764782;-0,3844601;"https://www.idealista.com/inmueble/91150849/";230000;"extramurs";"el botànic";"1";"1";"1";"1";"0";"0";"1";2;"1";0;28;"Baja";2987,01298701299
"415";1;78;"0";"0";"0";"0";3;"0";"2";39,4956781;-0,3703505;"https://www.idealista.com/inmueble/91157276/";57500;"rascanya";"els orriols";"0";"0";"0";"0";"0";"0";"0";1;"1";0;51;"Baja";737,179487179487
"416";2;148;"0";"0";"0";"0";4;"0";"2";39,4751531;-0,3522046;"https://www.idealista.com/inmueble/91157330/";248000;"algirós";"l'amistat";"0";"0";"0";"0";"0";"0";"0";5;"1";0;32;"Alta";1675,67567567568
