ba�os;m2;jardin;ascensor;piscina;terraza;habitaciones;a_reformar;tipo_vendedor;precio_final;distrito;armarios.empotrados;acceso.adaptado;aire.acondicionado;balcon;trastero;garaje.incluido;calefaccion;planta;vistas;variacion_precio;dias_venta
1;88;0;0;0;0;1;0;2;99000;la saïdia;0;0;1;0;0;0;1;0;1;-11000;44
2;125;0;1;0;0;4;0;2;250000;extramurs;1;1;0;0;0;0;1;5;1;0;25
2;150;1;1;1;0;4;0;2;240000;jesús;1;1;0;1;0;1;0;4;1;0;39
1;72;0;0;0;1;2;0;2;96000;benimaclet;0;1;0;1;0;0;1;5;1;0;8
1;70;0;0;0;0;3;0;2;170000;poblats marítims;1;0;1;0;0;0;0;3;1;0;37
2;104;0;1;0;0;3;0;2;280000;el pla del real;1;1;1;0;0;0;1;8;0;0;28
1;130;0;1;0;1;3;0;2;160000;benicalap;1;1;1;1;0;0;1;1;1;0;13
1;88;0;1;0;0;3;1;2;107000;la saïdia;1;1;0;1;0;0;0;8;1;0;15
2;121;0;0;0;0;4;0;2;175000;camins al grau;0;0;0;1;0;0;1;3;1;0;16
1;80;0;1;0;1;3;0;2;150000;la saïdia;1;0;1;1;0;0;0;0;1;0;25
1;70;0;0;0;0;2;0;2;42990;l'olivereta;1;0;0;1;0;0;0;2;1;0;8
1;56;0;1;1;0;1;0;2;163280;campanar;1;1;1;0;0;0;1;5;1;0;0
2;149;0;1;0;1;5;1;2;300000;extramurs;1;0;0;0;0;0;1;1;1;0;44
3;195;0;1;0;1;4;0;2;580000;campanar;1;0;1;1;1;1;1;14;1;0;0
2;140;0;1;0;0;4;0;2;149900;rascanya;0;0;1;1;0;0;1;2;1;0;41
1;84;0;0;0;0;1;0;2;172000;ciutat vella;0;0;1;1;0;0;1;1;1;0;0
1;45;0;0;0;0;1;0;2;140000;extramurs;1;0;1;1;0;0;1;2;1;0;28
1;70;0;0;0;0;3;1;2;65000;la saïdia;0;0;0;0;0;0;1;2;1;0;0
2;169;0;1;0;0;6;1;2;399900;l'eixample;0;0;0;0;0;0;0;4;1;0;25
1;80;0;0;0;0;2;0;2;164990;ciutat vella;0;0;1;1;1;0;1;2;1;0;41
1;75;0;0;0;1;2;0;2;88640;benicalap;0;1;0;1;0;0;1;4;1;0;12
2;70;0;0;0;0;3;0;2;105000;benicalap;0;0;0;0;0;0;0;1;1;0;8
2;230;0;1;0;0;5;0;2;590000;l'eixample;1;0;1;0;0;0;0;5;1;0;12
2;126;0;1;0;0;3;0;2;365000;ciutat vella;1;0;1;0;0;0;1;1;1;0;28
1;55;0;0;0;1;2;0;2;118000;patraix;0;0;1;0;0;0;0;2;1;-8000;12
4;300;0;1;0;1;6;0;2;600000;el pla del real;1;0;1;1;0;1;1;10;1;0;49
1;69;0;0;0;0;2;0;2;175000;poblats marítims;0;0;1;0;0;0;1;1;1;0;37
1;65;0;0;0;0;2;0;2;175000;poblats marítims;0;0;1;0;0;0;1;1;1;0;0
3;201;0;0;0;0;6;0;2;350000;poblats marítims;0;0;1;0;0;0;1;1;1;-175000;37
1;67;0;0;0;0;2;0;2;175000;poblats marítims;0;0;1;0;0;0;1;1;1;0;37
2;220;1;1;0;1;3;0;2;475000;extramurs;1;0;1;1;1;0;1;2;1;0;0
2;138;0;1;1;1;4;0;2;420000;campanar;1;0;1;0;0;1;0;11;1;0;16
1;60;0;0;0;0;3;1;2;70000;l'olivereta;0;0;0;1;0;0;1;3;1;0;13
1;99;0;1;0;1;3;0;2;239900;extramurs;1;0;1;1;1;0;1;1;1;0;0
2;120;1;1;0;0;3;0;2;162000;patraix;1;0;1;1;0;0;1;4;1;0;28
1;60;0;0;0;0;2;0;2;175000;poblats marítims;1;1;0;0;0;0;1;0;1;0;37
2;135;0;1;0;1;3;0;2;1140500;l'eixample;1;0;1;0;0;0;0;1;1;0;28
2;132;0;1;0;0;3;0;2;175000;poblats marítims;1;0;0;1;0;1;0;3;1;0;32
3;169;0;1;0;0;4;0;2;650000;el pla del real;1;1;1;1;0;1;0;6;1;0;20
2;104;0;1;0;0;3;0;2;168000;extramurs;0;0;0;1;0;0;0;2;1;0;20
2;228;0;1;1;1;3;0;2;530000;campanar;1;0;1;0;0;1;1;14;1;0;16
2;70;0;1;0;1;3;1;2;89000;poblats marítims;0;1;0;1;0;0;0;1;1;0;40
2;140;0;1;0;0;3;0;2;248950;poblats marítims;1;0;1;1;0;0;1;3;1;0;12
1;65;0;0;0;0;3;1;2;44000;rascanya;0;0;0;0;0;0;0;0;1;0;12
1;68;0;1;0;0;1;0;2;250000;ciutat vella;0;0;1;0;0;0;1;1;1;0;25
3;287;0;1;0;1;5;1;2;549000;l'eixample;1;1;1;0;0;0;1;8;1;0;41
2;120;0;1;0;0;4;0;2;199900;l'eixample;0;0;0;0;0;0;0;2;1;0;0
2;181;0;1;0;0;4;0;2;407000;poblats marítims;0;0;1;1;0;0;0;4;1;0;37
1;89;0;1;0;0;4;1;2;139000;la saïdia;1;0;0;0;0;0;1;3;1;0;28
2;118;0;1;0;0;2;0;1;350000;el pla del real;0;1;1;0;0;1;1;9;1;0;49
2;112;0;1;0;0;3;0;2;252000;camins al grau;0;0;1;0;0;1;1;2;1;0;32
1;90;0;1;0;0;3;0;2;160000;patraix;1;0;1;1;1;0;0;2;1;0;15
1;103;0;0;0;1;3;0;2;109500;poblats marítims;0;1;0;1;0;0;1;3;1;0;40
1;102;0;0;0;1;2;0;2;219000;ciutat vella;1;0;1;0;0;0;1;1;1;0;44
1;78;0;0;0;0;2;0;2;180000;poblats marítims;1;0;1;1;0;0;1;3;1;0;0
2;116;0;1;0;0;4;0;2;198000;benimaclet;1;0;1;1;0;0;1;2;1;0;37
2;175;0;1;0;0;3;0;2;570000;l'eixample;0;0;1;1;0;0;1;3;1;0;0
2;100;0;1;0;1;2;0;1;210000;la saïdia;1;1;1;1;1;1;1;2;1;0;48
2;95;0;1;0;1;2;0;2;149000;extramurs;0;0;1;0;0;0;1;1;1;0;28
2;96;0;1;0;0;4;0;2;135000;rascanya;0;0;0;0;0;0;0;3;1;0;20
1;100;0;1;0;0;2;0;2;400000;ciutat vella;1;0;1;0;0;1;0;2;1;0;49
1;79;0;0;0;0;3;0;2;72000;jesús;1;0;0;1;0;0;0;2;1;0;30
2;90;0;1;0;1;1;0;2;615000;ciutat vella;1;1;1;1;0;1;1;6;1;0;28
2;123;0;0;0;0;3;0;2;327726;quatre carreres;0;0;0;0;0;0;0;1;0;0;0
1;85;0;1;0;0;1;0;2;275000;campanar;1;0;1;0;0;1;0;7;1;0;13
2;70;0;0;0;0;2;0;2;150000;extramurs;0;0;1;0;0;0;1;1;1;0;47
2;131;0;1;0;0;3;0;2;257000;extramurs;1;0;0;1;0;0;0;3;1;0;0
1;105;0;1;0;0;3;1;2;87000;rascanya;0;0;0;1;0;0;0;2;1;0;8
2;120;0;1;0;0;4;0;2;118000;rascanya;1;0;1;1;0;0;1;2;1;0;3
2;120;0;1;0;0;4;0;1;247000;la saïdia;1;1;1;0;0;0;1;2;1;0;44
2;168;0;1;0;0;4;0;2;320000;l'eixample;1;0;1;1;0;0;1;7;1;0;44
1;55;1;1;1;0;1;0;2;129900;benicalap;1;0;0;0;0;0;0;5;1;0;8
2;148;0;1;1;1;4;0;2;280000;quatre carreres;0;0;0;0;0;0;0;8;1;0;0
2;96;0;1;0;0;4;0;2;185000;poblats marítims;1;0;1;0;0;0;1;2;1;0;40
2;158;0;1;0;1;5;1;2;530000;el pla del real;0;1;1;0;0;0;1;9;1;0;12
4;200;0;1;0;0;4;0;2;875000;l'eixample;1;0;1;1;0;1;0;1;1;0;28
2;95;0;1;1;1;3;0;2;295000;campanar;0;1;1;0;0;1;1;10;1;0;16
2;75;0;0;0;0;3;0;2;125000;poblats marítims;0;0;0;0;0;0;0;5;1;0;37
2;100;0;1;0;0;4;0;2;156000;extramurs;1;1;0;0;0;0;1;3;0;0;0
1;60;0;1;0;0;2;0;2;168000;la saïdia;1;0;0;0;0;0;0;4;1;0;0
2;103;0;1;0;1;2;0;2;150000;benicalap;0;0;0;0;0;0;0;1;1;0;37
2;116;0;1;0;1;2;0;2;170000;benicalap;0;0;0;0;0;0;0;2;1;0;37
2;103;0;1;0;1;2;0;2;152000;benicalap;0;0;0;0;0;0;0;2;1;0;37
2;116;0;1;0;1;2;0;2;172000;benicalap;0;0;0;0;0;0;0;3;1;0;37
2;103;0;1;0;1;2;0;2;156000;benicalap;0;0;0;0;0;0;0;4;1;0;37
1;105;0;0;0;0;2;0;2;299000;extramurs;1;0;0;1;0;0;0;2;1;0;26
2;141;1;1;1;0;3;0;2;198000;benicalap;1;0;1;0;1;1;1;1;1;0;16
1;65;0;0;0;0;2;0;2;85000;jesús;0;0;1;1;0;0;0;1;1;0;29
2;107;0;1;0;0;4;0;2;125000;rascanya;1;1;0;0;0;0;1;2;1;0;25
1;65;0;0;0;0;2;0;2;85000;jesús;1;0;1;1;0;0;0;1;1;0;13
1;60;0;1;1;0;1;0;2;170000;quatre carreres;1;1;1;1;0;1;1;6;1;0;NA
2;100;0;1;0;0;4;0;2;129000;rascanya;0;0;0;1;0;0;1;3;1;0;13
1;44;0;0;0;0;1;0;2;110500;poblats marítims;0;0;0;0;0;0;1;2;1;0;12
1;55;0;0;0;0;1;0;2;140000;poblats marítims;1;1;1;0;0;0;1;0;1;0;27
2;130;0;1;0;1;3;1;2;230000;extramurs;1;1;1;1;1;0;1;1;1;0;16
2;110;0;1;1;0;3;0;2;350000;quatre carreres;1;0;1;1;1;1;0;12;1;0;0
2;160;0;1;0;0;3;0;2;550000;l'eixample;1;0;0;1;0;0;0;4;1;0;25
2;92;0;1;0;1;3;0;2;239990;extramurs;0;1;1;0;1;0;1;1;1;0;0
2;80;0;1;0;1;1;0;2;590000;ciutat vella;1;1;1;0;0;0;1;8;1;0;0
2;133;0;1;0;0;4;0;2;278000;camins al grau;1;1;0;1;1;1;0;5;1;-17000;4
1;40;0;0;0;0;1;0;2;160000;ciutat vella;1;0;1;0;0;0;0;1;1;0;16
1;87;0;1;0;1;3;0;2;137000;quatre carreres;1;1;0;1;0;0;1;3;1;-7500;40
1;80;0;1;0;1;2;0;2;125000;poblats marítims;1;0;0;1;1;0;0;1;1;0;40
1;106;0;1;0;0;4;0;2;179500;quatre carreres;0;0;0;1;0;0;0;4;1;0;27
